node,degree,betweenness,btw_per_deg
5830,32,0.002321376278020572,7.254300868587591e-05
8344,100,0.00719258496028641,7.192584960214485e-05
8566,40,0.0028430354931101303,7.107588732597636e-05
17380,10,0.0007099031454031745,7.099031453321842e-05
5069,186,0.013085656041160307,7.035298946822557e-05
3552,10,0.0007019360487782925,7.019360487080989e-05
12065,14,0.0009703070565863482,6.930764689407432e-05
28631,8,0.0005538161518705196,6.922701897516156e-05
16017,10,0.0006832814156732474,6.832814156049193e-05
8642,9,0.0006144609724741343,6.827344137842898e-05
3377,21,0.0014214029123144568,6.768585296413196e-05
24025,11,0.0007356598697130148,6.68781699678306e-05
1559,167,0.011149998675677784,6.676645913539532e-05
8478,12,0.0007766720967563458,6.472267472430192e-05
19467,46,0.002963584546144705,6.44257510017452e-05
14057,19,0.0012234764382720042,6.439349674776898e-05
14115,11,0.0006973796382613824,6.339814892708947e-05
4272,25,0.0015836721381878428,6.334688552497984e-05
9132,28,0.0017590771454192525,6.282418376272958e-05
15689,9,0.0005626411616978321,6.251568462614627e-05
6529,6,0.00037357927388691485,6.22632123041086e-05
3785,11,0.0006790315894793411,6.173014449251009e-05
24375,3,0.00018409599547177907,6.136533180347125e-05
16214,9,0.0005501497629019903,6.11277514267625e-05
10195,5,0.00030518415044301537,6.103683007639571e-05
3408,10,0.0006063715151518294,6.0637151509119225e-05
21241,16,0.0009682095887684281,6.051309929424469e-05
12180,18,0.0010801391904929495,6.00077328018301e-05
52,3,0.00017983377577638918,5.994459190548153e-05
35,3,0.00017983377577638918,5.994459190548153e-05
41,3,0.00017983377577638918,5.994459190548153e-05
13088,5,0.00029707662278874203,5.941532454586534e-05
9988,11,0.0006526877842401588,5.9335253107347595e-05
8337,3,0.00017433699448056024,5.8112331474149305e-05
19452,4,0.00023129992529525618,5.78249813093578e-05
3475,36,0.0020600084497402905,5.722245693564078e-05
14703,9,0.0005115496014945963,5.683884460419528e-05
19826,16,0.0008950777992422846,5.5942362449146394e-05
151,170,0.009314980720079006,5.479400423543654e-05
13501,4,0.00021917430893860458,5.479357722095275e-05
19551,9,0.0004925931249014346,5.473256942741134e-05
2255,14,0.0007505479198118894,5.361056569701991e-05
19962,10,0.0005357687339713757,5.357687339177988e-05
11136,4,0.00021316340384868138,5.329085094884763e-05
20157,32,0.0016960383901347095,5.300119969005339e-05
7193,16,0.0008476655115646547,5.2979094469479726e-05
19374,9,0.00047461841117565527,5.273537901365776e-05
3344,24,0.0012552798893988124,5.230332872277121e-05
9129,70,0.0036597228492886453,5.22817549890909e-05
5050,45,0.0023469030853322643,5.215340189511358e-05
12491,16,0.0008193936472612207,5.121210295062554e-05
10012,8,0.0004050008937752752,5.0625111715581255e-05
12362,8,0.00040345290223977963,5.04316127736685e-05
22721,17,0.0008571314096911759,5.041949468475038e-05
14598,4,0.00020019683411712287,5.0049208516768415e-05
22784,3,0.0001494317095547659,4.981056983498511e-05
23793,2,9.962113970317728e-05,4.981056982668335e-05
1530,2,9.962113970317728e-05,4.981056982668335e-05
4152,169,0.008417950508873699,4.981035804037804e-05
15607,10,0.0004968214571401793,4.9682145709049714e-05
20764,73,0.0036205622439474104,4.9596743067093334e-05
2038,3,0.00014813407512105972,4.93780250238939e-05
2044,3,0.00014813407512105972,4.93780250238939e-05
1959,3,0.00014813407512105972,4.93780250238939e-05
1948,3,0.00014813407512105972,4.93780250238939e-05
1965,3,0.00014813407512105972,4.93780250238939e-05
35547,16,0.0007896324571263813,4.935202856731433e-05
1713,38,0.0018564936839438595,4.8855096944605385e-05
21899,3,0.00014491723500204004,4.8305744984578095e-05
5035,9,0.0004327296484095428,4.808107204016242e-05
3430,13,0.0006212690987161062,4.7789930666793555e-05
5017,14,0.0006657426134538528,4.75530438147357e-05
14893,36,0.0017111734094563476,4.753259470580042e-05
9369,3,0.00014250544839588717,4.750181611612845e-05
13312,9,0.00042458882044008154,4.7176535599211667e-05
1569,142,0.006692375857548478,4.71294074471926e-05
13707,25,0.0011742733166410506,4.697093266376319e-05
1,70,0.0032811947426881457,4.687421060916102e-05
140,1245,0.05788336568253793,4.64926631987883e-05
19831,3,0.0001391739944542044,4.639133146927102e-05
21706,7,0.0003222033006687261,4.602904294609958e-05
28494,6,0.0002739581341837375,4.5659689023012966e-05
5051,52,0.0023723918357684863,4.5622919917747376e-05
9424,5,0.00022780962055311924,4.5561924101511465e-05
19899,2,9.071685830791381e-05,4.535842913127769e-05
11340,10,0.00044794689126579176,4.479468912209971e-05
15754,5,0.0002238585862110273,4.477171723325111e-05
588,829,0.03708516226401872,4.47348157587141e-05
